tempo,trat,rep,indice
1,NT,1,0
1,NT,2,"26,32"
1,NT,3,25
1,NT,4,"5,26"
1,NT,5,"-44,44"
1,E,1,"77,78"
1,E,2,"-5,88"
1,E,3,-20
1,E,4,"15,79"
1,E,5,"52,94"
1,G,1,-100
1,G,2,"-5,26"
1,G,3,"-29,41"
1,G,4,"47,37"
1,G,5,"5,88"
1,C,1,"55,56"
1,C,2,"22,22"
1,C,3,0
1,C,4,"15,79"
1,C,5,"-11,11"
1,T,1,"-12,5"
1,T,2,-70
1,T,3,"-28,57"
1,T,4,"14,29"
1,T,5,"42,86"
16,NT,1,"47,37"
16,NT,2,10
16,NT,3,"-22,22"
16,NT,4,"-78,95"
16,NT,5,"73,33"
16,E,1,"89,47"
16,E,2,-20
16,E,3,"57,89"
16,E,4,60
16,E,5,"-55,56"
16,G,1,-100
16,G,2,80
16,G,3,"77,78"
16,G,4,-10
16,G,5,"-66,67"
16,C,1,50
16,C,2,-40
16,C,3,-10
16,C,4,-100
16,C,5,"-68,42"
16,T,1,80
16,T,2,"-47,37"
16,T,3,"44,44"
16,T,4,-50
16,T,5,"15,79"
21,NT,1,20
21,NT,2,30
21,NT,3,-25
21,NT,4,"-22,22"
21,NT,5,"47,37"
21,E,1,"89,47"
21,E,2,"5,88"
21,E,3,0
21,E,4,-50
21,E,5,"-11,11"
21,G,1,-100
21,G,2,80
21,G,3,"88,24"
21,G,4,0
21,G,5,-40
21,C,1,60
21,C,2,"29,41"
21,C,3,-40
21,C,4,-100
21,C,5,"-11,11"
21,T,1,100
21,T,2,"-47,37"
21,T,3,50
21,T,4,-100
21,T,5,"-47,37"
24,NT,1,50
24,NT,2,0
24,NT,3,"55,56"
24,NT,4,"-47,37"
24,NT,5,50
24,E,1,"68,42"
24,E,2,-10
24,E,3,"11,11"
24,E,4,60
24,E,5,"77,78"
24,G,1,100
24,G,2,100
24,G,3,"-52,94"
24,G,4,0
24,G,5,"-88,89"
24,C,1,40
24,C,2,"-41,18"
24,C,3,-70
24,C,4,-100
24,C,5,"-57,89"
24,T,1,"89,47"
24,T,2,"-78,95"
24,T,3,"-33,33"
24,T,4,-100
24,T,5,"-88,89"
36,NT,1,50
36,NT,2,0
36,NT,3,"55,56"
36,NT,4,"-47,37"
36,NT,5,50
36,E,1,"68,42"
36,E,2,-10
36,E,3,"11,11"
36,E,4,60
36,E,5,"77,78"
36,G,1,100
36,G,2,100
36,G,3,"-52,94"
36,G,4,0
36,G,5,"-88,89"
36,C,1,40
36,C,2,"-41,18"
36,C,3,-70
36,C,4,-100
36,C,5,"-57,89"
36,T,1,"89,47"
36,T,2,"-78,95"
36,T,3,"-33,33"
36,T,4,-100
36,T,5,"-88,89"
44,NT,1,30
44,NT,2,60
44,NT,3,"17,65"
44,NT,4,30
44,NT,5,"-26,32"
44,E,1,"77,78"
44,E,2,"-29,41"
44,E,3,"5,26"
44,E,4,"44,44"
44,E,5,"-78,95"
44,G,1,-100
44,G,2,100
44,G,3,"88,24"
44,G,4,40
44,G,5,-60
44,C,1,50
44,C,2,"-26,32"
44,C,3,-60
44,C,4,-100
44,C,5,-50
44,T,1,"89,47"
44,T,2,"-68,42"
44,T,3,"5,88"
44,T,4,-90
44,T,5,"-89,47"
